中3 前期中間対策暗記プリ 社会(歴史),解答 ※{ }内は順不同
戦国大名の中でも特に大きな動きを示した尾張(愛知)の大名,織田信長
信長は1573年に何を滅ぼしたか。,室町幕府
信長が行った、商工業の自由を認める令,楽市楽座
信長が築いた城,安土城
安土城は( )のほとりに建てられた。,琵琶湖
信長が明智光秀の反逆により本能寺で自害したこと(1582年),本能寺の変
信長に「さる」と呼ばれていた、信長の家臣,豊臣秀吉
秀吉が築いた城,大阪城
1590年、秀吉は( )を滅ぼして、全国統一を果たした。,(小田原)北条氏
秀吉は、新しい体制づくりの柱として、( )と( )を行った。(※古い順に),検地、刀狩
秀吉が実施した、生産量をすべて石高で表すようにした検地,太閤検地
農民や寺院から武器を取り上げた令,刀狩令
秀吉の政策により、武士と農民の身分が明確に区別されたこと,兵農分離
秀吉が1587年に出した、宣教師の国外追放令,バテレン追放令
1592年、秀吉が明への案内役を断った朝鮮に15万の大軍を送ったこと,文禄の役
1597年、秀吉が明との講和の対話がまとまらず、朝鮮に再び出兵したこと,慶長の役
「文禄の役」と「慶長の役」をまとめてなんというか。,朝鮮出兵
織田信長や豊臣秀吉が活躍した時代,安土桃山時代
安土桃山時代の文化,桃山文化
桃山文化の特徴:大名と大商人らの権力と富を基礎とした、雄大で( )な文化。,豪華
桃山文化の城は、壮大な( )をもち、大名の権力を象徴した。,天守
質素なわび茶の作法を完成させた人物,千利休
南蛮人との交易などからできた文化,南蛮文化
秀吉の死後、天下を治め、江戸幕府を始めた人物,徳川家康
家康は1600年の( )の戦いで勝利し、1603年に征夷大将軍になり、幕府を開いた。,関ヶ原
江戸幕府を中心とする時代,江戸時代
家康が行った朱印状を使った貿易,朱印船貿易
朱印船貿易により、東南アジアには、( )ができた。,日本町
幕府のしくみは三代将軍( )の頃までに整った。,徳川家光
大名の領地とその政治組織をなんというか。,藩
幕府と藩が土地や人民を統治する政治制度,幕藩体制
幕府が大名に向けてだした法令,武家諸法度
家光は武家諸法度に、1年おきに領地と江戸を往復させる、( )を義務付けた。,参勤交代
幕府が朝廷に向けて出した法令(漢字8字),禁中並公家諸法度
朱印船貿易の影響で、国内に( )教徒が増加した。,キリスト
1612年、増加したキリスト教徒の勢力を抑えるため、( )令を出した。,キリスト教禁止
1637年、天草四郎を中心とするキリシタン弾圧などに反対した一揆,島原・天草一揆
1639年、徳川家光は( )を完成させた。,鎖国
江戸幕府の身分制度により、農民は武士に( )を納めなければならない。,年貢
年貢の割合のことを漢字4字でなんというか。,四公六民
百姓の身分は、( )>( )>( )>( )である。,名主、組頭、百姓代、水呑み百姓
名主、組頭、百姓代のような土地を持つ百姓をなんというか。,本百姓
本百姓は、( )を開き、村の運営をしていた。,寄合
水呑み百姓は、( )をつくり、連帯責任を負った。,五人組
江戸時代の身分のうち、農業をする者,百姓
江戸時代の身分のうち、帯刀・名字の特権があるもの,武士
江戸時代の身分のうち、商人や職人,町人
江戸時代の4つの身分をまとめてなんというか。,士農工商
江戸時代の身分のうち、一番下の身分で「士農工商」に含まれない者,えた・ひにん
徳川5代将軍は誰か。,徳川綱吉
綱吉は、これまでの武断政治から( )政治に転換した。,文治
綱吉は、( )を奨励し、湯島聖堂を建て、その祖、孔子を祀った。,儒学
儒学は( )関係を重んじる教えで、幕府に適していた。,上下
綱吉が出した極端な動物愛護令,生類憐みの令
綱吉は、物価を下げようと、( )の質を落としたが、逆に物価が上がってしまった。,貨幣
新井白石は、文治政治を受け継ぎ、( )に基づく政治を心がけた。,学問
新井白石は、( )の制限や( )の質を改善し、金銀の全体量を減らし、払う金銀を減らした。,長崎貿易、貨幣
徳川8代将軍は誰か。,徳川吉宗
吉宗の行なった改革の総称,享保の改革
享保の改革は、倹約令などで( )を奨励し、幕府財政建て直しを図った改革である。,質素倹約
享保の改革の一部、大名に100万石につき100石の米を献上させる代わりに参勤交代を半分にした制,上げ米の制
享保の改革の一部、( )開発により、幕府の収入が増加した。,新田
吉宗は裁判の基準を示す([漢字6字])や( )の設置、火事対策に( )の整備、( )養生所を作った,公事方御定書、目安箱、町火消し、小石川
商業による幕府財政の立て直しを図った人物,田沼意次
意次は手工業者に( )を作ることを奨励し、幕府は営業税を得た。,株仲間
意次はふかひれなどの( )を輸出し、金銀を得た → わいろ政治,海産物
意次が老中の頃、浅間山の噴火や天候不順により、( )のききんが起きた。,天明
多くの批判を浴び、わずか6年で老中の座を退いた人物,松平定信
松平定信は、( )の孫。,徳川吉宗
松平定信が行った改革,寛政の改革
寛政の改革の一部、厳しい( )令を出す、旗本や御家人の借金を帳消しにする( )を出す → 札差の不満,倹約、徳政令
寛政の改革の一部、あれた農村を立て直すため、出稼ぎに来ていた( )を村に帰らせた。,百姓
寛政の改革の一部、ききんに備えて倉を設けて米を蓄えさせたこと → 商品作物の生産制限,囲い米
大名の居城を中心に発達した町。江戸、名古屋、金沢など,城下町
街道に置かれた宿場を中心に発達した町。藤沢、三島、草津など,宿場町
海や川、湖の港に発達した町。商業、貿易が行われた。長崎、堺、博多など,港町
寺社の門前に発達した町。東大寺、興福寺の奈良、善光寺の長野など,門前町
「将軍のお膝元」と呼ばれ、人口100万人の最大の城下町。,江戸
「天下の台所」と呼ばれ、全国の商業・金融の中心。蔵屋敷が日本海側に置かれていた。,大坂
西陣織や友禅染、陶器などの優れた工芸品が生産された場所,京都
幕府や撹拌が土地を開墾して、( )に努めた。,新田開発
江戸時代には、( )ぐわや( )こきなどの新しい農具が使われた。,備中、千歯
江戸時代には、肥料も改善され、イワシを干した( )を使用した。,干鰯
江戸時代には、売るための作物である( )の栽培が奨励され、米以外の作物も作られた。,商品作物
江戸幕府は主な鉱山を直接支配し、佐渡の( )や石見の( )、足尾の( )などを支配した。,金山、銀山、銅山
干鰯の原料であるイワシは( )でよく獲れた。,九十九里浜
問屋が生産者に原料や道具を貸し、製品を生産させて買い取る工業,問屋制家内工業
工場を作り道具を用意して人を雇い、分業で製品を作る工業,工場制手工業
江戸日本橋を中心とする五街道をすべて答えよ。,東海道、中山道、甲州街道など
街道の途中、箱根などの要所には、( )を置いた。,関所
江戸時代、手紙や小荷物を運ぶ( )の制度が整えられた。,飛脚
江戸時代、大量の荷物を運べるが遅い( )廻船や小さいが速い( )廻船があった。,菱垣廻船、樽廻船
江戸時代の2つの航路で、日本海沿岸→開門海峡→瀬戸内海→大阪 の航路,西廻り航路
江戸時代の2つの航路で、東北地方日本海沿岸→津軽海峡→太平洋沿岸→江戸 の航路,東廻り航路
幕府や藩から認められた商工業者の同業組合,株仲間
幕府が通貨の( )を独占(金貨は金座、銀貨は銀座、銅貨は銭座で製造),発行権
幕府の許可を得て藩が発行したお金,藩札
金銀銅の交換を行い、預金や貸付などの業務を行った商人,両替商
大名にお金を貸す商人,豪商
豪商の中でも、大阪の鴻池、江戸の( )は特に有名である。,三井
江戸五代将軍徳川綱吉のころの上方を中心とする町人文化,元禄文化
浮世草子(町人の生活を描いた小説)を書いた人物,井原西鶴
人形浄瑠璃をつくったり、歌舞伎の脚本書きをした人物,近松門左衛門
俳諧や奥の細道を作った人物,松尾芭蕉
風神雷神図屏風などを書いた人物,俵屋宗達
紅白梅図屏風や燕子花図屏風を書いた人物,尾形光琳
浮世絵や見乖離美人図を書いた人物,菱川師宣
元禄文化の工芸品は、着物などの( )、友禅染などの( )、漆塗りの( )、瀬戸の( )など,織物、染め物、漆器、陶磁器
世相を皮肉る( )や( )が流行。,{川柳、狂歌}
南総里見八犬伝を書いた人物,滝沢馬琴
東海道中膝栗毛を書いた人物,十返舎一九
画家としても有名な化政文化の俳諧,与謝蕪村
弱者へ同情を寄せた句が多い化政文化の俳諧,小林一茶
錦絵と呼ばれる多色刷りの美しい版画を始めた人物,鈴木晴信
美人画を描いた人物,喜多川歌麿
富嶽三十六景を描いた人物,葛飾北斎
東海道五十三次を描いた人物,歌川広重
役者絵を描いた人物,東洲斎写楽
孔子の教えから起こった学問。江戸時代の学問の主流になった。,儒学
儒学の一派。君臣・父子をわきまえ、上下の秩序を重んじた、江戸幕府の御用学問。,朱子学
日本の古典を研究し、日本固有の思想を明らかにしようとする学問。,国学
国学を研究し、古事記伝を書いた人物,本居宣長
国学は( )と結びつくため、幕府を批判する精神を持つ。,尊王思想
オランダ語で西洋の文化を学ぶ学問(後の洋学),蘭学
蘭学で、西洋の解剖書を翻訳し、解体新書を書いた人物,杉田玄白
蘭学で、日本の沿岸を測量し、日本全図を作った人物,伊能忠敬
蘭学で、エレキテルや温度計を作った人物,平賀源内
オランダ商館の医師として来日したドイツ人で、長崎で塾を開き、多くの蘭学者を育てた人物,シーボルト
この頃、( )な考えが発達し、幕府政治つまり封建制度への批判が増えた,科学的
「読み・書き・そろばん」を教えた、庶民の教育施設,寺小屋
諸藩が藩士のために設立した、武士の気風の引き締めと人材の育成を図った教育施設,藩校
16世紀から18世紀、ヨーロッパでは( )により、機械化が進んだ。,産業革命
そのため、1792年、1804年などに( )の供給地と( )の市場拡大(=( )がしたい)のために来航した。,原材料、製品、通商(貿易)
1792年は、( )に( )が来た,根室、ラクスマン
1804年は、( )に( )が来た,長崎、レザノフ
無断来航に対して、幕府は(答え/応じず)、千島・樺太に( )と( )を派遣した。,応じず、近藤重蔵、間宮林蔵
1811年、日本は( )、ロシアは( )を人質にし、北方領土の範囲を決めた。,ゴローニン、高田屋嘉兵衛
1808年、長崎にイギリスの船が無断で侵入したこと,フェートン号事件
アメリカの船は、( )活動の際の( )地として、日本に接近。,捕鯨、補給地
1825年に、幕府は外国船に対しての令である( )を出した。,異国船打払令
異国船打払令に対して、( )や( )は反対した。,高野長英、渡辺崋山
1839年、高野長英、渡辺崋山らを幕府は処罰した。このことをなんというか。,蛮社の獄
11代将軍家斉の頃、幕府の贅沢のせいで、武士だけでなく、( )や( )も困窮した。,町人、百姓
11代将軍家斉の頃、幕府や商人が( )を買い占めしたため、庶民がそれを飼えなくなった。,米
143の状況の中、1836年、( )が起きた。,天保の大飢饉
1837年、元幕府の役人だった( )が、( )の乱を起こした。※( )には同じ言葉が入ります。「救民」,大塩平八郎
1841年、家斉の死後、( )の( )の改革が始まった。,水野忠邦、天保
天保の改革について、( )令を施行し、( )を行った。,倹約、風紀
天保の改革について、異国船打払令を何にしたか。,薪水給与令
薪水給与令に切り替えた理由,清がアヘン戦争で負けたから
天保の改革について、( )の解散をした → 不景気に…,株仲間
天保の改革について、江戸や大阪を天(幕)領にする令をなんというか。,上知令
天保の改革はあまりに規制が強いため、( )年で水野忠邦は失脚した。,2
天保の改革の頃、([漢字4字で])の4藩は、改革に成功した。,薩長土肥
自国の文化や宗教などを拡大するためなどに、軍事力を背景に他の国家を侵略する思想や政策。,帝国主義
1600年、イギリスは( )会社を設立。,東インド
その約100年後、東インド会社は([国])を独占するようになる。,インド
東インド会社による占領に反乱した人々は、1857年に、( )を起こす → 負けてイギリスの植民地になってしまった,インドの大反乱
清が危険なアヘンを取締り、それに反発したイギリスとの戦争,アヘン戦争
アヘン戦争の戦争で清が負けたことにより結ばれた不平等な条約,南京条約
南京条約は、清に賠償金を払わせたり、( )を認めさせたり、( )を認めない不平等条約だった。,治外法権、関税自主権
1851年、( )は( )の乱を起こした。,洪秀全、太平天国
これと同時に清は( )戦争をしていたため、162を鎮めるのに10年以上かかった。,アロー(戦争)
ロシアは寒さで( )が凍り使えなくなるため、( )の獲得のために( )政策を行った。,港、不凍港、南下(政策)
16~18世紀のヨーロッパは、王が一番偉いとする、( )だった。,絶対王政
絶対王政が終わった理由,市民革命が起きたから
1642年、( )による( )革命が起きた。,クロムウェル、清教徒(革命)
1688年、血が一滴も流れずに終わった( )革命が起きた。,名誉(革命)
1689年、( )が発表された。(内容…国王は法律より偉くないゾ！),権利の章典
1775年、アメリカでは、イギリスの植民地からの脱却のため、( )が起きた。,アメリカ独立戦争
アメリカ独立戦争の結果、アメリカが勝ち、初代大統領( )が中心となって、( )を発表した。,ワシントン、アメリカ独立宣言
アメリカ独立宣言の宣言の内容…すべての人々は、( )で( )である。,平等、自由
アメリカ独立宣言を知ったフランス国民は、1789年、( )を起こし、( )牢獄を襲撃した。,フランス革命、バスティーユ
フランス革命の結果、フランスは( )を発表し、( )や( )は処刑された。,人権宣言、ルイ16世、マリー・アントワネット
バスティーユ牢獄襲撃の日である、( )月( )日にパリ祭は行われる。,7、14
18世紀半ばのイギリスでは、今までの( )制( )工業から( )制( )工業になった。,工場、手、工場、機械
ヨーロッパの機械化による革命,産業革命
産業革命の裏側では、身が小さく、反乱できない( )が( )をさせられていた。,子供、児童労働
資本家が労働者に仕事で必要なものを与え、資本家がもうけを得る思想,資本主義
資本主義国で労働者が自らの権利を守るためにつくった労働者の組織,労働組合
資本主義と反対で、会社は国が運営し、すべての人民は平等であるとする思想,社会主義
1853年、浦賀に来航したのは誰？,ペリー
1854年にアメリカと結んだ条約,日米和親条約
1858年にアメリカと結んだ、不平等な条約,日米修好通商条約
日米修好通商条約を幕府の許可無く結んだ人物,井伊直弼
日米修好通商条約の内容は、日本に( )がなく、( )を認めさせる日本にとって不平等なものだった。,関税自主権、治外法権
井伊直弼が暗殺された事件,桜田門外の変(1860)
太平洋戦争に敗れた日本を占領した機関(漢字8字で),連合国軍総司令部
連合国軍総司令部のことをアルファベット3字でなんというか。,GHQ
連合国軍総司令部(GHQ)の最高司令官は誰か。,マッカーサー
マッカーサーが降り立った基地,厚木基地
日本に来た目的(女性解放、労働組合の結成、教育自由化、圧政的諸制度廃止、民主化)をまとめて何と言うか。,間接統治
日本経済を支配していた大資本家(財閥)を解体したことをなんというか。,財閥解体
日本は( )主義から( )化され、企業が市場を独占してはいけない法律、( )法をつくった。,軍事、民主、独占禁止
地主の土地を買い上げて、小作農に与えた政策,農地改革
農地改革により、(小作人/自作農)より(小作人/自作農)のほうが多くなった。,小作人、自作農
選挙法の改革により、満(18/20/25)歳以上のすべての(男子/女子/男女)に選挙権が与えられた。,20、男女
その他、( )法の廃止、( )政治復活、天皇の( )や( )基本法などの改革が行われた。,治安維持、政党、人間宣言、教育
またこの頃、( )憲法を改正し、( )憲法が完成しました。,大日本帝国、日本国
日本国憲法の公布日と施行日を答えなさい。,公:1946/11/3 施:1947/5/3
日本国憲法には、( )原則がいちばん重要なものとして含まれている。,三大基本
三大基本原則の一つ、戦争及び戦力を持つことを否定。,平和主義
三大基本原則の一つ、国民の生命と財産を守り、生活を豊かに充実させる。,基本的人権の尊重
三大基本原則の一つ、国の政治のあり方を最終的に決める権力が国民にある。,国民主権
1945年10月にできた国際平和を維持する機構,国際連合
国際連合の常任理事国をすべて答えなさい。(アフロ注意の順で漢字で),米、仏、露、中、英
国際連合で開かれる理事会,安全保障理事会
直接参加を交えず、経済や軍事面で対立しあっていた状態のこと,冷戦
資本主義の( )と、社会主義の(　)が、冷戦の状態になっていた。,アメリカ、ソ連
冷戦中、アメリカが作った条約機構を漢字で答えなさい。,北大西洋条約機構
冷戦中、ソ連が作った条約機構を漢字で答えなさい。,ワルシャワ条約機構
1949年、ドイツは、資本主義の(1)と社会主義の(2)にわかれ、( )が建設された。,西ドイツ、東ドイツ、ベルリンの壁
中国では第二次世界大戦後、再び内戦が起き、( )の( )党と( )の( )党が対立していた。,蒋介石、国民|毛沢東、共産
