中3 前期中間対策暗記プリ 社会(歴史),解答 ※{ }内は順不同
戦国大名の中でも特に大きな動きを示した尾張(愛知)の大名,織田信長
信長は1573年に何を滅ぼしたか。,室町幕府
信長が行った、商工業の自由を認める令,楽市楽座
信長が築いた城,安土城
安土城は( )のほとりに建てられた。,琵琶湖
信長が明智光秀の反逆により本能寺で自害したこと(1582年),本能寺の変
信長に「さる」と呼ばれていた、信長の家臣,豊臣秀吉
秀吉が築いた城,大阪城
1590年、秀吉は( )を滅ぼして、全国統一を果たした。,(小田原)北条氏
秀吉は、新しい体制づくりの柱として、( )と( )を行った。(※古い順に),検地、刀狩
秀吉が実施した、生産量をすべて石高で表すようにした検地,太閤検地
農民や寺院から武器を取り上げた令,刀狩令
秀吉の政策により、武士と農民の身分が明確に区別されたこと,兵農分離
秀吉が1587年に出した、宣教師の国外追放令,バテレン追放令
1592年、秀吉が明への案内役を断った朝鮮に15万の大軍を送ったこと,文禄の役
1597年、秀吉が明との講和の対話がまとまらず、朝鮮に再び出兵したこと,慶長の役
「文禄の役」と「慶長の役」をまとめてなんというか。,朝鮮出兵
織田信長や豊臣秀吉が活躍した時代,安土桃山時代
安土桃山時代の文化,桃山文化
桃山文化の特徴:大名と大商人らの権力と富を基礎とした、雄大で( )な文化。,豪華
桃山文化の城は、壮大な( )をもち、大名の権力を象徴した。,天守
質素なわび茶の作法を完成させた人物,千利休
南蛮人との交易などからできた文化,南蛮文化
秀吉の死後、天下を治め、江戸幕府を始めた人物,徳川家康
家康は1600年の( )の戦いで勝利し、1603年に征夷大将軍になり、幕府を開いた。,関ヶ原
江戸幕府を中心とする時代,江戸時代
家康が行った朱印状を使った貿易,朱印船貿易
朱印船貿易により、東南アジアには、( )ができた。,日本町
幕府のしくみは三代将軍( )の頃までに整った。,徳川家光
大名の領地とその政治組織をなんというか。,藩
幕府と藩が土地や人民を統治する政治制度,幕藩体制
幕府が大名に向けてだした法令,武家諸法度
家光は武家諸法度に、1年おきに領地と江戸を往復させる、( )を義務付けた。,参勤交代
幕府が朝廷に向けて出した法令(漢字8字),禁中並公家諸法度
朱印船貿易の影響で、国内に( )教徒が増加した。,キリスト
1612年、増加したキリスト教徒の勢力を抑えるため、( )令を出した。,キリスト教禁止
1637年、天草四郎を中心とするキリシタン弾圧などに反対した一揆,島原・天草一揆
1639年、徳川家光は( )を完成させた。,鎖国
江戸幕府の身分制度により、農民は武士に( )を納めなければならない。,年貢
年貢の割合のことを漢字4字でなんというか。,四公六民
百姓の身分は、( )>( )>( )>( )である。,名主.組頭.百姓代.水呑み百姓
名主、組頭、百姓代のような土地を持つ百姓をなんというか。,本百姓
本百姓は、( )を開き、村の運営をしていた。,寄合
水呑み百姓は、( )をつくり、連帯責任を負った。,五人組
江戸時代の身分のうち、農業をする者,百姓
江戸時代の身分のうち、帯刀・名字の特権があるもの,武士
江戸時代の身分のうち、商人や職人,町人
江戸時代の4つの身分をまとめてなんというか。,士農工商
江戸時代の身分のうち、一番下の身分で「士農工商」に含まれない者,えた・ひにん
徳川5代将軍は誰か。,徳川綱吉
綱吉は、これまでの武断政治から( )政治に転換した。,文治
綱吉は、( )を奨励し、湯島聖堂を建て、その祖、孔子を祀った。,儒学
儒学は( )関係を重んじる教えで、幕府に適していた。,上下
綱吉が出した極端な動物愛護令,生類憐みの令
綱吉は、物価を下げようと、( )の質を落としたが、逆に物価が上がってしまった。,貨幣
新井白石は、文治政治を受け継ぎ、( )に基づく政治を心がけた。,学問
新井白石は、( )の制限や( )の質を改善し、金銀の全体量を減らし、払う金銀を減らした。,長崎貿易、貨幣
徳川8代将軍は誰か。,徳川吉宗
吉宗の行なった改革の総称,享保の改革
享保の改革は、倹約令などで( )を奨励し、幕府財政建て直しを図った改革である。,質素倹約
享保の改革の一部、大名に100万石につき100石の米を献上させる代わりに参勤交代を半分にした制,上げ米の制
享保の改革の一部、( )開発により、幕府の収入が増加した。,新田
吉宗は裁判の基準を示す([漢字6字])や( )の設置、火事対策に( )の整備、( )養生所を作った,公事方御定書、目安箱、町火消し、小石川
商業による幕府財政の立て直しを図った人物,田沼意次
意次は手工業者に( )を作ることを奨励し、幕府は営業税を得た。,株仲間
意次はふかひれなどの( )を輸出し、金銀を得た → わいろ政治,海産物
意次が老中の頃、浅間山の噴火や天候不順により、( )のききんが起きた。,天明
多くの批判を浴び、わずか6年で老中の座を退いた人物,松平定信
松平定信は、( )の孫。,徳川吉宗
松平定信が行った改革,寛政の改革
寛政の改革の一部、厳しい( )令を出す、旗本や御家人の借金を帳消しにする( )を出す → 札差の不満,倹約、徳政令
寛政の改革の一部、あれた農村を立て直すため、出稼ぎに来ていた( )を村に帰らせた。,百姓
寛政の改革の一部、ききんに備えて倉を設けて米を蓄えさせたこと → 商品作物の生産制限,囲い米
大名の居城を中心に発達した町。江戸、名古屋、金沢など,城下町
街道に置かれた宿場を中心に発達した町。藤沢、三島、草津など,宿場町
海や川、湖の港に発達した町。商業、貿易が行われた。長崎、堺、博多など,港町
寺社の門前に発達した町。東大寺、興福寺の奈良、善光寺の長野など,門前町
「将軍のお膝元」と呼ばれ、人口100万人の最大の城下町。,江戸
「天下の台所」と呼ばれ、全国の商業・金融の中心。蔵屋敷が日本海側に置かれていた。,大坂
西陣織や友禅染、陶器などの優れた工芸品が生産された場所,京都
幕府や撹拌が土地を開墾して、( )に努めた。,新田開発
江戸時代には、( )ぐわや( )こきなどの新しい農具が使われた。,備中、千歯
江戸時代には、肥料も改善され、イワシを干した( )を使用した。,干鰯
江戸時代には、売るための作物である( )の栽培が奨励され、米以外の作物も作られた。,商品作物
江戸幕府は主な鉱山を直接支配し、佐渡の( )や石見の( )、足尾の( )などを支配した。,金山、銀山、銅山
干鰯の原料であるイワシは( )でよく獲れた。,九十九里浜
問屋が生産者に原料や道具を貸し、製品を生産させて買い取る工業,問屋制家内工業
工場を作り道具を用意して人を雇い、分業で製品を作る工業,工場制手工業
江戸日本橋を中心とする五街道を答えよ。,東海道、中山道、甲州街道など
街道の途中、箱根などの要所には、( )を置いた。,関所
江戸時代、手紙や小荷物を運ぶ( )の制度が整えられた。,飛脚
江戸時代、大量の荷物を運べるが遅い( )廻船や小さいが速い( )廻船があった。,菱垣廻船、樽廻船
江戸時代の2つの航路で、日本海沿岸→開門海峡→瀬戸内海→大阪 の航路,西廻り航路
江戸時代の2つの航路で、東北地方日本海沿岸→津軽海峡→太平洋沿岸→江戸 の航路,東廻り航路
